# 浏览器,
IntelliJ IDEA 社区版,winget install --id JetBrains.IntelliJIDEA.Community -e --silent --accept-package-agreements --accept-source-agreements
PyCharm 社区版,winget install --id JetBrains.PyCharm.Community -e --silent --accept-package-agreements --accept-source-agreements
WebStorm,winget install --id JetBrains.WebStorm -e --silent --accept-package-agreements --accept-source-agreements
DataGrip 数据库工具,winget install --id JetBrains.DataGrip -e --silent --accept-package-agreements --accept-source-agreements
Neovim 编辑器,winget install --id Neovim.Neovim -e --silent --accept-package-agreements --accept-source-agreements
Vim 编辑器,winget install --id Vim.Vim -e --silent --accept-package-agreements --accept-source-agreements
Sublime Text,winget install --id SublimeHQ.SublimeText -e --silent --accept-package-agreements --accept-source-agreements
Notepad++,winget install --id Notepad++.Notepad++ -e --silent --accept-package-agreements --accept-source-agreements
Postman API 工具,winget install --id Postman.Postman -e --silent --accept-package-agreements --accept-source-agreements
Insomnia API 工具,winget install --id Insomnia.Insomnia -e --silent --accept-package-agreements --accept-source-agreements
Docker Desktop,winget install --id Docker.DockerDesktop -e --silent --accept-package-agreements --accept-source-agreements
Git 版本控制,winget install --id Git.Git -e --silent --accept-package-agreements --accept-source-agreements
GitHub Desktop,winget install --id GitHub.GitHubDesktop -e --silent --accept-package-agreements --accept-source-agreements
TortoiseGit,winget install --id TortoiseGit.TortoiseGit -e --silent --accept-package-agreements --accept-source-agreements
Python 3.12,winget install --id Python.Python.3.12 -e --silent --accept-package-agreements --accept-source-agreements
Node.js LTS,winget install --id OpenJS.NodeJS.LTS -e --silent --accept-package-agreements --accept-source-agreements
Oracle JDK 21,winget install --id Oracle.JDK.21 -e --silent --accept-package-agreements --accept-source-agreements
Temurin JDK 21,winget install --id EclipseAdoptium.Temurin.21.JDK -e --silent --accept-package-agreements --accept-source-agreements
Go 语言,winget install --id GoLang.Go -e --silent --accept-package-agreements --accept-source-agreements
Rust 工具链,winget install --id Rustlang.Rustup -e --silent --accept-package-agreements --accept-source-agreements
Ruby 3.3,winget install --id RubyInstallerTeam.Ruby.3.3 -e --silent --accept-package-agreements --accept-source-agreements
SQL Server 2022 开发版,winget install --id Microsoft.SQLServer.2022.Developer -e --silent --accept-package-agreements --accept-source-agreements
DB Browser for SQLite,winget install --id SQLiteBrowser.SQLiteBrowser -e --silent --accept-package-agreements --accept-source-agreements
MongoDB 服务器,winget install --id MongoDB.Server -e --silent --accept-package-agreements --accept-source-agreements
Redis,winget install --id Redis.Redis -e --silent --accept-package-agreements --accept-source-agreements
微信,winget install --id Tencent.WeChat -e --silent --accept-package-agreements --accept-source-agreements
QQ,winget install --id Tencent.QQ -e --silent --accept-package-agreements --accept-source-agreements
企业微信,winget install --id Tencent.WeCom -e --silent --accept-package-agreements --accept-source-agreements
钉钉,winget install --id Alibaba.DingTalk -e --silent --accept-package-agreements --accept-source-agreements
飞书,winget install --id ByteDance.Feishu -e --silent --accept-package-agreements --accept-source-agreements
Zoom 会议,winget install --id Zoom.Zoom -e --silent --accept-package-agreements --accept-source-agreements
Steam 游戏平台,winget install --id Valve.Steam -e --silent --accept-package-agreements --accept-source-agreements
Discord,winget install --id Discord.Discord -e --silent --accept-package-agreements --accept-source-agreements
Slack,winget install --id SlackTechnologies.Slack -e --silent --accept-package-agreements --accept-source-agreements
WhatsApp,winget install --id WhatsApp.WhatsApp -e --silent --accept-package-agreements --accept-source-agreements
Telegram 桌面版,winget install --id Telegram.TelegramDesktop -e --silent --accept-package-agreements --accept-source-agreements
VLC 播放器,winget install --id VideoLAN.VLC -e --silent --accept-package-agreements --accept-source-agreements
PotPlayer,winget install --id Daum.PotPlayer -e --silent --accept-package-agreements --accept-source-agreements
Screenbox 播放器,winget install --id Starpine.Screenbox -e --silent --accept-package-agreements --accept-source-agreements
MPC-BE 播放器,winget install --id MPC-BE.MPC-BE -e --silent --accept-package-agreements --accept-source-agreements
OBS Studio 录屏直播,winget install --id OBSProject.OBSStudio -e --silent --accept-package-agreements --accept-source-agreements
ShareX 截图录屏,winget install --id ShareX.ShareX -e --silent --accept-package-agreements --accept-source-agreements
FFmpeg 音视频工具,winget install --id FFmpeg.FFmpeg -e --silent --accept-package-agreements --accept-source-agreements
FFmpeg（完整构建版）,winget install --id Gyan.FFmpeg -e --silent --accept-package-agreements --accept-source-agreements
Audacity 音频编辑,winget install --id Audacity.Audacity -e --silent --accept-package-agreements --accept-source-agreements
Spotify 音乐,winget install --id Spotify.Spotify -e --silent --accept-package-agreements --accept-source-agreements
网易云音乐,winget install --id NetEase.CloudMusic -e --silent --accept-package-agreements --accept-source-agreements
QQ音乐,winget install --id Tencent.QQMusic -e --silent --accept-package-agreements --accept-source-agreements
7-Zip 压缩解压,winget install --id 7zip.7zip -e --silent --accept-package-agreements --accept-source-agreements
WinRAR,winget install --id RARLab.WinRAR -e --silent --accept-package-agreements --accept-source-agreements
PowerToys 系统增强,winget install --id Microsoft.PowerToys -e --silent --accept-package-agreements --accept-source-agreements
Sysinternals 工具集,winget install --id Microsoft.SysinternalsSuite -e --silent --accept-package-agreements --accept-source-agreements
WizTree 磁盘分析,winget install --id AntibodySoftware.WizTree -e --silent --accept-package-agreements --accept-source-agreements
WinDirStat 磁盘分析,winget install --id WinDirStat.WinDirStat -e --silent --accept-package-agreements --accept-source-agreements
